clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.33,0.14,582,neca_toys heres one of my engagement pix all time toys was destroyed in a flood in ellicott city md last night pictwittercom/2trxqx9jvo,help/rescue
0,-0.33,-0.42,327,preservation maryland help historic elliott city recover from yesterdays flood (image) from preservationu2026,help/rescue
0,-0.33,0.15,540,flood/storm damage in ellicottcity pictwittercom/09ke6pqahg,help/rescue
0,-0.33,0.17,177,devastating! flood destruction in ellicott city collection of photos and video,help/rescue
0,-0.33,-0.08,129,a car that was picked up by flood waters along court ave near main street in downtown ellicottcity frednewspostpictwittercom/nc1ygirwkr,help/rescue
0,-0.32,0.00,169,main street ellicottcity is devastated every downtown shop suffering major flood damage weatherchannel amhqpictwittercom/jccrrb7noj,help/rescue
0,-0.32,0.00,587,i cant believe this happened yesterday in ellicott city  flood washing away cars and people ellicottcityflood,help/rescue
0,-0.32,-0.12,251,gov hogan (rmaryland) declares emergency following major flood damage in ellicottcity,help/rescue
0,-0.31,-0.04,300,here walk down a bit of old ellicott citys flood ravaged main st with me pictwittercom/bx1brta0sz,help/rescue
0,-0.31,0.41,247,gut wrenching video of a woman being rescued from last nights  ellicottcity flood,help/rescue
0,-0.31,0.47,200,shit got real in ellicott city last night with that flood,help/rescue
